sku_code,legacy_sku_code,barcode,brand,product_name,category,subcategory,pack_size,pack_size_unit,pack_qty,retail_price,active,data_flags
SKU0001,SKU001,8851959142011,Coca-Cola,Coke Original 325ml x 24 units,Beverage,Soft Drink,325,ml,24,325.00,TRUE,no_supplier_price
SKU0002,SKU002,8850718801015,Lay's,Lay's Original 48g x 6 units,Snack,Potato Chips,48,g,6,100.00,TRUE,no_supplier_price
SKU0003,SKU003,,SINGHA,SINGHA Drinking Water 1.5L Pack 6,Beverage,Drinking Water,1.5,L,6,50.00,TRUE,barcode_missing
SKU0004,SKU004,,Coca-Cola,Coke Original 1.5L x 12 units,Beverage,Soft Drink,1.5,L,12,340.00,TRUE,barcode_missing;no_supplier_price
SKU0005,SKU005,,Coca-Cola,Coke Original 2 L x 6 units,Beverage,Soft Drink,2,L,6,230.00,TRUE,barcode_missing;no_supplier_price
SKU0006,SKU006,,NESTLE,NESTLE Pure Life Drinking Water 1.5 L. Pack 6,Beverage,Drinking Water,1.5,L,6,50.00,TRUE,barcode_missing
SKU0007,SKU007,,NESTLE,NESTLE Pure Life Drinking Water 600 ml. Pack 12,Beverage,Drinking Water,600,ml,12,50.00,TRUE,barcode_missing
SKU0008,SKU008,,FANTA,FANTA Mixed Fruit Flavored Soft Drink 1.5 L.,Beverage,Soft Drink,1.5,L,1,340.00,TRUE,pack_qty_not_in_name;barcode_missing;no_supplier_price
SKU0009,SKU009,,Coca-Cola,Coke Original 999ml x 12 units,Beverage,Soft Drink,999,ml,12,260.00,TRUE,barcode_missing;no_supplier_price
SKU0010,SKU010,,Coca-Cola,Coke Original 500ml x 12 units,Beverage,Soft Drink,500,ml,12,185.00,TRUE,barcode_missing;no_supplier_price
SKU0011,SKU011,,FANTA,FANTA Mixed Fruit Flavored Soft Drink 999 ml.,Beverage,Soft Drink,999,ml,1,260.00,TRUE,pack_qty_not_in_name;barcode_missing;no_supplier_price
SKU0012,SKU012,,FANTA,FANTA Mixed Fruit Flavored Soft Drink 500 ml.,Beverage,Soft Drink,500,ml,1,185.00,TRUE,pack_qty_not_in_name;barcode_missing;no_supplier_price
SKU0013,SKU013,,FANTA,FANTA Mixed Fruit Flavored Soft Drink 325ml. x24 units,Beverage,Soft Drink,325,ml,24,325.00,TRUE,barcode_missing;no_supplier_price
SKU0014,SKU014,,Coca-Cola,Coke Original 240ml x 12 units,Beverage,Soft Drink,240,ml,12,132.00,TRUE,barcode_missing
SKU0015,SKU015,,SINGHA,SINGHA Lemon Soda 330 ml. x 6 units,Beverage,Soda,330,ml,6,85.00,TRUE,barcode_missing
SKU0016,SKU016,,ยูโร่,ยูโร่ คัสตาร์ดเค้ก 17 ก. 12 ชิ้น,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing
SKU0017,SKU017,,ยูโร่,ยูโร่ พัฟเค้ก สอดไส้ครีมรสสตรอเบอร์รี่ 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing;no_supplier_price
SKU0018,SKU018,,ยูโร่,ยูโร่ พัฟเค้ก สอดไส้ครีมรสใบเตย 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing
SKU0019,SKU019,,ยูโร่,ยูโร่ เค้กกล้วย 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing;no_supplier_price
SKU0020,SKU020,,ยูโร่,ยูโร่ เค้ก รสเมล่อน 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing
SKU0021,SKU021,,ยูโร่,ยูโร่ เค้ก นมฮอกไกโด 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing;no_supplier_price
SKU0022,SKU022,,ยูโร่,ยูโร่ มาร์เบิ้ลเค้กไส้ครีมช็อกโกแลต 17 ก. 12 ชิ้น,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing
SKU0023,SKU023,,ยูโร่,ยูโร่ ช็อกโกพาย พายสอดไส้ครีมเคลือบช็อกโกแลต 18 ก. x 12,Snack,Cake,18,g,12,50.00,TRUE,barcode_missing
SKU0024,SKU024,,ยูโร่,ยูโร่ ช็อกโกพาย ไส้แยมราสเบอร์รี่ 17 ก. x 12,Snack,Cake,17,g,12,50.00,TRUE,barcode_missing
SKU0025,SKU025,,ดีน่า,ดีน่า นมถั่วเหลือง ยูเอชที รสงาดำ 180 มล. x 4,Beverage,Soy Milk,180,ml,4,35.00,TRUE,barcode_missing;no_supplier_price
SKU0026,SKU026,,ดีน่า,ดีน่านมถั่วเหลืองยูเอชทีน้ำตาลน้อยไขมันต่ำ180 มล. x 4,Beverage,Soy Milk,180,ml,4,35.00,TRUE,barcode_missing;no_supplier_price
SKU0027,SKU027,,ดีน่า,ดีน่า กาบา นมถั่วเหลืองยูเอชที สูตรผสมจมูกข้าวญี่ปุ่น 180 มล. x 4,Beverage,Soy Milk,180,ml,4,35.00,TRUE,barcode_missing;no_supplier_price
